dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes,primary_metric,family_a,family_b,expected_biological_similarity,overlap_confidence,observed_strength,concept_relation,pair,is_mmseqs
pdbflex,disprot,mmseqs_90,mmseqs,90.0,0.8,29,9734,continuous,binary,auroc,0.277076,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,structural flexibility/dynamics,curated binary disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,True
pdbflex,plddt,mmseqs_90,mmseqs,90.0,0.8,51,9663,continuous,continuous,spearman,0.283949,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,True
plddt,disprot,mmseqs_90,mmseqs,90.0,0.8,13,1698,continuous,binary,auroc,0.967894,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,plddt vs disprot,True
softdis,atlas,mmseqs_90,mmseqs,90.0,0.8,51,7216,continuous,continuous,spearman,0.453333,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,True
softdis,disprot,mmseqs_90,mmseqs,90.0,0.8,37,12046,continuous,binary,auroc,0.881776,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,high,high,high,related disorder concept,softdis vs disprot,True
softdis,pdbflex,mmseqs_90,mmseqs,90.0,0.8,1173,197023,continuous,continuous,spearman,0.139716,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,True
softdis,plddt,mmseqs_90,mmseqs,90.0,0.8,57,12097,continuous,continuous,spearman,0.558043,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,high,high,medium,related disorder concept,softdis vs plddt,True
trizod,atlas,mmseqs_90,mmseqs,90.0,0.8,8,1232,continuous,continuous,spearman,0.173232,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,medium,low,unknown or weakly related,trizod vs atlas,True
trizod,chezod,mmseqs_90,mmseqs,90.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,low,high,same annotation family,trizod vs chezod,True
trizod,disprot,mmseqs_90,none,90.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,True
trizod,pdbflex,mmseqs_90,mmseqs,90.0,0.8,43,5096,continuous,continuous,spearman,0.144694,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,medium,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,True
trizod,plddt,mmseqs_90,mmseqs,90.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,medium,medium,related disorder concept,trizod vs plddt,True
trizod,softdis,mmseqs_90,mmseqs,90.0,0.8,45,5302,continuous,continuous,spearman,0.315195,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,trizod vs softdis,True
atlas,disprot,mmseqs_95,mmseqs,95.0,0.8,2,286,continuous,binary,auroc,0.861182,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,very low,high,unknown or weakly related,atlas vs disprot,True
atlas,plddt,mmseqs_95,mmseqs,95.0,0.8,5,737,continuous,continuous,spearman,0.250323,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,low,related disorder concept,atlas vs plddt,True
chezod,atlas,mmseqs_95,mmseqs,95.0,0.8,2,249,continuous,continuous,spearman,0.623305,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,high,related disorder concept,chezod vs atlas,True
chezod,disprot,mmseqs_95,mmseqs,95.0,0.8,2,563,continuous,binary,auroc,0.687011,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,medium,unknown or weakly related,chezod vs disprot,True
chezod,pdbflex,mmseqs_95,mmseqs,95.0,0.8,6,692,continuous,continuous,spearman,0.115447,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,low,low,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,True
chezod,plddt,mmseqs_95,mmseqs,95.0,0.8,33,3932,continuous,continuous,spearman,0.556088,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,chezod vs plddt,True
chezod,softdis,mmseqs_95,mmseqs,95.0,0.8,9,881,continuous,continuous,spearman,0.300704,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,low,medium,related disorder concept,chezod vs softdis,True
pdbflex,atlas,mmseqs_95,mmseqs,95.0,0.8,41,6181,continuous,continuous,spearman,0.318628,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,medium,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,True
pdbflex,disprot,mmseqs_95,mmseqs,95.0,0.8,28,8665,continuous,binary,auroc,0.276237,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,structural flexibility/dynamics,curated binary disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,True
pdbflex,plddt,mmseqs_95,mmseqs,95.0,0.8,50,9121,continuous,continuous,spearman,0.226518,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,True
plddt,disprot,mmseqs_95,mmseqs,95.0,0.8,9,1270,continuous,binary,auroc,0.961906,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,medium,high,unknown or weakly related,plddt vs disprot,True
softdis,atlas,mmseqs_95,mmseqs,95.0,0.8,47,6833,continuous,continuous,spearman,0.455026,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,True
softdis,disprot,mmseqs_95,mmseqs,95.0,0.8,36,10977,continuous,binary,auroc,0.880545,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,high,high,high,related disorder concept,softdis vs disprot,True
softdis,pdbflex,mmseqs_95,mmseqs,95.0,0.8,1130,190911,continuous,continuous,spearman,0.134717,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,True
softdis,plddt,mmseqs_95,mmseqs,95.0,0.8,55,11450,continuous,continuous,spearman,0.588346,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,high,high,medium,related disorder concept,softdis vs plddt,True
trizod,atlas,mmseqs_95,mmseqs,95.0,0.8,7,1106,continuous,continuous,spearman,0.143728,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,medium,low,unknown or weakly related,trizod vs atlas,True
trizod,chezod,mmseqs_95,mmseqs,95.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,low,high,same annotation family,trizod vs chezod,True
trizod,disprot,mmseqs_95,none,95.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,True
trizod,pdbflex,mmseqs_95,mmseqs,95.0,0.8,40,4816,continuous,continuous,spearman,0.146682,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,medium,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,True
trizod,plddt,mmseqs_95,mmseqs,95.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,medium,medium,related disorder concept,trizod vs plddt,True
trizod,softdis,mmseqs_95,mmseqs,95.0,0.8,44,5241,continuous,continuous,spearman,0.31563,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,trizod vs softdis,True
atlas,disprot,mmseqs_98,mmseqs,98.0,0.8,2,286,continuous,binary,auroc,0.861182,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,unknown/no-overlap,very low,high,unknown or weakly related,atlas vs disprot,True
atlas,plddt,mmseqs_98,mmseqs,98.0,0.8,4,672,continuous,continuous,spearman,0.204065,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,medium,low,low,related disorder concept,atlas vs plddt,True
chezod,atlas,mmseqs_98,mmseqs,98.0,0.8,1,186,continuous,continuous,spearman,0.209296,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,very low,low,related disorder concept,chezod vs atlas,True
chezod,disprot,mmseqs_98,mmseqs,98.0,0.8,2,563,continuous,binary,auroc,0.687011,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,low,medium,unknown or weakly related,chezod vs disprot,True
chezod,pdbflex,mmseqs_98,mmseqs,98.0,0.8,4,515,continuous,continuous,spearman,0.101654,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,low,low,different concept: flexibility vs disorder/proxy,chezod vs pdbflex,True
chezod,plddt,mmseqs_98,mmseqs,98.0,0.8,31,3704,continuous,continuous,spearman,0.56957,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,chezod vs plddt,True
chezod,softdis,mmseqs_98,mmseqs,98.0,0.8,7,704,continuous,continuous,spearman,0.307932,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,low,medium,related disorder concept,chezod vs softdis,True
pdbflex,atlas,mmseqs_98,mmseqs,98.0,0.8,40,6076,continuous,continuous,spearman,0.325149,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,derived soft disorder,low,medium,medium,different concept: flexibility vs disorder/proxy,pdbflex vs atlas,True
pdbflex,disprot,mmseqs_98,mmseqs,98.0,0.8,27,8493,continuous,binary,auroc,0.276944,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,structural flexibility/dynamics,curated binary disorder,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs disprot,True
pdbflex,plddt,mmseqs_98,mmseqs,98.0,0.8,49,9020,continuous,continuous,spearman,0.224924,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,structural flexibility/dynamics,AlphaFold confidence proxy,low,medium,low,different concept: flexibility vs disorder/proxy,pdbflex vs plddt,True
plddt,disprot,mmseqs_98,mmseqs,98.0,0.8,3,603,continuous,binary,auroc,0.958351,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,AlphaFold confidence proxy,curated binary disorder,unknown/no-overlap,low,high,unknown or weakly related,plddt vs disprot,True
softdis,atlas,mmseqs_98,mmseqs,98.0,0.8,46,6664,continuous,continuous,spearman,0.451364,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,derived soft disorder,medium,medium,medium,same annotation family,softdis vs atlas,True
softdis,disprot,mmseqs_98,mmseqs,98.0,0.8,33,10459,continuous,binary,auroc,0.882985,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,auroc,derived soft disorder,curated binary disorder,high,high,high,related disorder concept,softdis vs disprot,True
softdis,pdbflex,mmseqs_98,mmseqs,98.0,0.8,1068,183582,continuous,continuous,spearman,0.132666,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,structural flexibility/dynamics,low,high,low,different concept: flexibility vs disorder/proxy,softdis vs pdbflex,True
softdis,plddt,mmseqs_98,mmseqs,98.0,0.8,44,9055,continuous,continuous,spearman,0.590384,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,derived soft disorder,AlphaFold confidence proxy,high,medium,medium,related disorder concept,softdis vs plddt,True
trizod,atlas,mmseqs_98,mmseqs,98.0,0.8,7,1106,continuous,continuous,spearman,0.143728,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,unknown/no-overlap,medium,low,unknown or weakly related,trizod vs atlas,True
trizod,chezod,mmseqs_98,mmseqs,98.0,0.8,2,348,continuous,continuous,spearman,0.940091,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,NMR chemical-shift disorder,high,low,high,same annotation family,trizod vs chezod,True
trizod,disprot,mmseqs_98,none,98.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters",auroc,NMR chemical-shift disorder,curated binary disorder,unknown/no-overlap,no estimate,no estimate,unknown or weakly related,trizod vs disprot,True
trizod,pdbflex,mmseqs_98,mmseqs,98.0,0.8,38,4629,continuous,continuous,spearman,0.14204,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,structural flexibility/dynamics,low,medium,low,different concept: flexibility vs disorder/proxy,trizod vs pdbflex,True
trizod,plddt,mmseqs_98,mmseqs,98.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,AlphaFold confidence proxy,medium,medium,medium,related disorder concept,trizod vs plddt,True
trizod,softdis,mmseqs_98,mmseqs,98.0,0.8,39,4740,continuous,continuous,spearman,0.308605,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared,spearman,NMR chemical-shift disorder,derived soft disorder,medium,medium,medium,related disorder concept,trizod vs softdis,True
